 4000 0.3974318E+04  0.3427024E-20
 4000 0.3958585E+04  0.1172983E-19
 4000 0.3942976E+04  0.1980881E-19
 4000 0.3927490E+04  0.1855858E-19
 4000 0.3912125E+04  0.2468958E-19
 4000 0.3896880E+04  0.2812519E-19
 4000 0.3881754E+04  0.2601922E-19
 4000 0.3866744E+04  0.2876715E-19
 4000 0.3851850E+04  0.2714038E-19
 4000 0.3837070E+04  0.3133113E-19
 4000 0.3822403E+04  0.4024939E-19
 4000 0.3807848E+04  0.4399682E-19
 4000 0.3793403E+04  0.4812339E-19
 4000 0.3779068E+04  0.4937729E-19
 4000 0.3764840E+04  0.5825929E-19
 4000 0.3750719E+04  0.5747276E-19
 4000 0.3736704E+04  0.5757845E-19
 4000 0.3722793E+04  0.6681869E-19
 4000 0.3708985E+04  0.8275671E-19
 4000 0.3695280E+04  0.9303170E-19
 4000 0.3681675E+04  0.9383903E-19
 4000 0.3668170E+04  0.1077406E-18
 4000 0.3654763E+04  0.1168377E-18
 4000 0.3641455E+04  0.1225890E-18
 4000 0.3628243E+04  0.1366507E-18
 4000 0.3615126E+04  0.1397385E-18
 4000 0.3602104E+04  0.1512848E-18
 4000 0.3589175E+04  0.1682285E-18
 4000 0.3576339E+04  0.1899240E-18
 4000 0.3563595E+04  0.2075880E-18
 4000 0.3550941E+04  0.2077468E-18
 4000 0.3538376E+04  0.2145237E-18
 4000 0.3525900E+04  0.2250339E-18
 4000 0.3513512E+04  0.2441986E-18
 4000 0.3501210E+04  0.2673223E-18
 4000 0.3488995E+04  0.2917541E-18
 4000 0.3476864E+04  0.3150935E-18
 4000 0.3464817E+04  0.3234961E-18
 4000 0.3452854E+04  0.3372723E-18
 4000 0.3440972E+04  0.3647458E-18
 4000 0.3429173E+04  0.4029486E-18
 4000 0.3417454E+04  0.4494288E-18
 4000 0.3405814E+04  0.4742278E-18
 4000 0.3394254E+04  0.4955611E-18
 4000 0.3382772E+04  0.5193507E-18
 4000 0.3371368E+04  0.5570132E-18
 4000 0.3360040E+04  0.6164054E-18
 4000 0.3348788E+04  0.6565994E-18
 4000 0.3337611E+04  0.6775162E-18
 4000 0.3326508E+04  0.6811543E-18
 4000 0.3315479E+04  0.7107931E-18
 4000 0.3304523E+04  0.7888964E-18
 4000 0.3293639E+04  0.8578299E-18
 4000 0.3282827E+04  0.8896176E-18
 4000 0.3272085E+04  0.8944963E-18
 4000 0.3261413E+04  0.9543784E-18
 4000 0.3250811E+04  0.1093647E-17
 4000 0.3240278E+04  0.1177017E-17
 4000 0.3229812E+04  0.1199535E-17
 4000 0.3219414E+04  0.1267291E-17
 4000 0.3209083E+04  0.1393719E-17
 4000 0.3198817E+04  0.1488269E-17
 4000 0.3188618E+04  0.1606535E-17
 4000 0.3178483E+04  0.1719204E-17
 4000 0.3168412E+04  0.1806467E-17
 4000 0.3158405E+04  0.1970637E-17
 4000 0.3148461E+04  0.2088745E-17
 4000 0.3138579E+04  0.2236365E-17
 4000 0.3128759E+04  0.2458607E-17
 4000 0.3119001E+04  0.2616103E-17
 4000 0.3109303E+04  0.2834857E-17
 4000 0.3099665E+04  0.3077448E-17
 4000 0.3090087E+04  0.3380755E-17
 4000 0.3080567E+04  0.3782893E-17
 4000 0.3071107E+04  0.4176711E-17
 4000 0.3061704E+04  0.4728102E-17
 4000 0.3052358E+04  0.5203501E-17
 4000 0.3043070E+04  0.5613921E-17
 4000 0.3033838E+04  0.6445462E-17
 4000 0.3024661E+04  0.7301223E-17
 4000 0.3015540E+04  0.7954325E-17
 4000 0.3006474E+04  0.9025161E-17
 4000 0.2997462E+04  0.9822550E-17
 4000 0.2988505E+04  0.1122860E-16
 4000 0.2979600E+04  0.1269176E-16
 4000 0.2970748E+04  0.1431791E-16
 4000 0.2961949E+04  0.1696494E-16
 4000 0.2953202E+04  0.1936113E-16
 4000 0.2944506E+04  0.2346314E-16
 4000 0.2935861E+04  0.2755149E-16
 4000 0.2927267E+04  0.3187887E-16
 4000 0.2918724E+04  0.3892260E-16
 4000 0.2910229E+04  0.4639327E-16
 4000 0.2901785E+04  0.6160577E-16
 6000 0.4244203E+04  0.6661942E-20
 6000 0.4226265E+04  0.1509962E-19
 6000 0.4208479E+04  0.2731469E-19
 6000 0.4190842E+04  0.3634853E-19
 6000 0.4173352E+04  0.3770835E-19
 6000 0.4156008E+04  0.4730608E-19
 6000 0.4138807E+04  0.5948912E-19
 6000 0.4121748E+04  0.6797434E-19
 6000 0.4104829E+04  0.7190621E-19
 6000 0.4088048E+04  0.8045476E-19
 6000 0.4071404E+04  0.8760594E-19
 6000 0.4054895E+04  0.9235353E-19
 6000 0.4038519E+04  0.1019345E-18
 6000 0.4022275E+04  0.1198041E-18
 6000 0.4006161E+04  0.1168763E-18
 6000 0.3990176E+04  0.1108402E-18
 6000 0.3974318E+04  0.1269796E-18
 6000 0.3958585E+04  0.1492780E-18
 6000 0.3942976E+04  0.1613534E-18
 6000 0.3927490E+04  0.1730595E-18
 6000 0.3912125E+04  0.1808748E-18
 6000 0.3896880E+04  0.1886118E-18
 6000 0.3881754E+04  0.1970752E-18
 6000 0.3866744E+04  0.2038574E-18
 6000 0.3851850E+04  0.2132228E-18
 6000 0.3837070E+04  0.2307598E-18
