# Melendez & Barbuy 2009, A&A 497, 611, Table 1
# air_wavelength_angstrom lower_excitation_ev log_gf normalization c6_cgs
7222.394 3.8889 -3.26 L 0.956E-32
7224.487 3.8891 -3.20 L 0.956E-32
7301.560 3.8916 -3.63 S 0.857E-32
7308.073 3.8889 -3.03 L 0.943E-32
7310.216 3.8891 -3.37 L 0.943E-32
7320.654 3.8918 -3.23 L 0.943E-32
7449.335 3.8889 -3.27 L 0.943E-32
7462.407 3.8918 -2.74 L 0.943E-32
7479.693 3.8916 -3.61 S 0.857E-32
7515.832 3.9036 -3.39 L 0.943E-32
7655.488 3.8918 -3.56 L 0.930E-32
7711.724 3.9034 -2.50 L 0.930E-32
