1.000000e-10 6.000000e+01 1.246360e-11 -1.842881e+03
2.000000e-10 6.000000e+01 2.492719e-11 -1.842881e+03
3.000000e-10 6.000000e+01 3.739079e-11 -1.842881e+03
4.000000e-10 6.000000e+01 4.985439e-11 -1.842881e+03
5.000000e-10 6.000000e+01 6.231798e-11 -1.842881e+03
6.000000e-10 6.000000e+01 7.478158e-11 -1.842881e+03
7.000000e-10 6.000000e+01 8.724518e-11 -1.842881e+03
8.000000e-10 6.000000e+01 9.970877e-11 -1.842881e+03
9.000000e-10 6.000000e+01 1.121724e-10 -1.842881e+03
1.000000e-09 6.000000e+01 1.246360e-10 -1.842881e+03
2.000000e-09 6.000000e+01 2.492719e-10 -1.842881e+03
3.000000e-09 6.000000e+01 3.739079e-10 -1.842881e+03
4.000000e-09 6.000000e+01 4.985439e-10 -1.842881e+03
5.000000e-09 6.000000e+01 6.231798e-10 -1.842881e+03
6.000000e-09 6.000000e+01 7.478158e-10 -1.842881e+03
7.000000e-09 6.000000e+01 8.724518e-10 -1.842881e+03
8.000000e-09 6.000000e+01 9.970877e-10 -1.842881e+03
9.000000e-09 6.000000e+01 1.121724e-09 -1.842881e+03
1.000000e-08 6.000000e+01 1.246360e-09 -1.842881e+03
2.000000e-08 6.000000e+01 2.492719e-09 -1.842881e+03
3.000000e-08 6.000000e+01 3.739079e-09 -1.842881e+03
4.000000e-08 6.000000e+01 4.985439e-09 -1.842881e+03
5.000000e-08 6.000000e+01 6.231799e-09 -1.842881e+03
6.000000e-08 6.000000e+01 7.478159e-09 -1.842881e+03
7.000000e-08 6.000000e+01 8.724519e-09 -1.842881e+03
8.000000e-08 6.000000e+01 9.970879e-09 -1.842881e+03
9.000000e-08 6.000000e+01 1.121724e-08 -1.842881e+03
1.000000e-07 6.000000e+01 1.246360e-08 -1.842881e+03
2.000000e-07 6.000000e+01 2.492720e-08 -1.842881e+03
3.000000e-07 6.000000e+01 3.739081e-08 -1.842881e+03
4.000000e-07 6.000000e+01 4.985442e-08 -1.842881e+03
5.000000e-07 6.000000e+01 6.231804e-08 -1.842881e+03
6.000000e-07 6.000000e+01 7.478166e-08 -1.842881e+03
7.000000e-07 6.000000e+01 8.724529e-08 -1.842881e+03
8.000000e-07 6.000000e+01 9.970892e-08 -1.842881e+03
9.000000e-07 6.000000e+01 1.121726e-07 -1.842881e+03
1.000000e-06 6.000000e+01 1.246362e-07 -1.842881e+03
2.000000e-06 6.000000e+01 2.492729e-07 -1.842881e+03
3.000000e-06 6.000000e+01 3.739100e-07 -1.842881e+03
4.000000e-06 6.000000e+01 4.985476e-07 -1.842881e+03
5.000000e-06 6.000000e+01 6.231856e-07 -1.842881e+03
6.000000e-06 6.000000e+01 7.478242e-07 -1.842881e+03
7.000000e-06 6.000000e+01 8.724632e-07 -1.842881e+03
8.000000e-06 6.000000e+01 9.971026e-07 -1.842881e+03
9.000000e-06 6.000000e+01 1.121743e-06 -1.842881e+03
1.000000e-05 6.000000e+01 1.246383e-06 -1.842881e+03
2.000000e-05 6.000000e+01 2.492812e-06 -1.842881e+03
3.000000e-05 6.000000e+01 3.739288e-06 -1.842881e+03
4.000000e-05 6.000000e+01 4.985811e-06 -1.842881e+03
5.000000e-05 6.000000e+01 6.232380e-06 -1.842881e+03
6.000000e-05 6.000000e+01 7.478996e-06 -1.842881e+03
7.000000e-05 6.000000e+01 8.725658e-06 -1.842881e+03
8.000000e-05 6.000000e+01 9.972367e-06 -1.842881e+03
9.000000e-05 6.000000e+01 1.121912e-05 -1.842881e+03
1.000000e-04 6.000000e+01 1.246593e-05 -1.842881e+03
2.000000e-04 6.000000e+01 2.493651e-05 -1.842881e+03
3.000000e-04 6.000000e+01 3.741177e-05 -1.842881e+03
4.000000e-04 6.000000e+01 4.989171e-05 -1.842881e+03
5.000000e-04 6.000000e+01 6.237633e-05 -1.842881e+03
6.000000e-04 6.000000e+01 7.486564e-05 -1.842881e+03
7.000000e-04 6.000000e+01 8.735966e-05 -1.842881e+03
8.000000e-04 6.000000e+01 9.985838e-05 -1.842881e+03
9.000000e-04 6.000000e+01 1.123618e-04 -1.842881e+03
1.000000e-03 6.000000e+01 1.248700e-04 -1.842881e+03
2.000000e-03 6.000000e+01 2.502131e-04 -1.842882e+03
3.000000e-03 6.000000e+01 3.760369e-04 -1.842882e+03
4.000000e-03 6.000000e+01 5.023493e-04 -1.842882e+03
5.000000e-03 6.000000e+01 6.291580e-04 -1.842882e+03
6.000000e-03 6.000000e+01 7.564709e-04 -1.842883e+03
7.000000e-03 6.000000e+01 8.842961e-04 -1.842883e+03
8.000000e-03 6.000000e+01 1.012641e-03 -1.842883e+03
9.000000e-03 6.000000e+01 1.141515e-03 -1.842884e+03
1.000000e-02 6.000000e+01 1.270926e-03 -1.842884e+03
