# Ca I 4227-A absolute cross sections recovered from Blouin et al. 2019, Fig. 5 vector paths
# T=4000 K; original profile calculation covers n_He=1e21--1e23 cm^-3
# helium_density_cm-3 wavelength_vacuum_angstrom cross_section_cm2
1.00000000e+21 3660.67502477 2.5556595847e-18
1.00000000e+21 3662.08293136 2.5528353243e-18
1.00000000e+21 3664.66730670 2.5698274614e-18
1.00000000e+21 3668.58245090 2.6178645653e-18
1.00000000e+21 3670.47251762 2.6469704680e-18
1.00000000e+21 3672.67116485 2.7020456406e-18
1.00000000e+21 3676.27772360 2.8663084438e-18
1.00000000e+21 3685.88235240 3.4835079304e-18
1.00000000e+21 3690.97396041 3.8341885109e-18
1.00000000e+21 3694.77338321 3.9640512305e-18
1.00000000e+21 3697.37704791 3.9931950892e-18
1.00000000e+21 3701.58148325 3.9766723339e-18
1.00000000e+21 3702.58437731 3.9552948619e-18
1.00000000e+21 3707.27097278 3.8098893516e-18
1.00000000e+21 3712.88331472 3.6450599688e-18
1.00000000e+21 3716.18129296 3.6324870723e-18
1.00000000e+21 3719.07425373 3.7039699744e-18
1.00000000e+21 3722.58437553 3.8913118294e-18
1.00000000e+21 3727.77242050 4.2990583896e-18
1.00000000e+21 3741.17646717 5.6788670691e-18
1.00000000e+21 3744.37801338 5.8010337492e-18
1.00000000e+21 3747.27097416 5.8170911964e-18
1.00000000e+21 3750.06750291 5.7706466539e-18
1.00000000e+21 3754.17550623 5.6195283744e-18
1.00000000e+21 3763.87656705 5.2559140411e-18
1.00000000e+21 3766.48023175 5.2755641135e-18
1.00000000e+21 3769.68177303 5.4346811434e-18
1.00000000e+21 3772.97974635 5.7475637274e-18
1.00000000e+21 3778.28350777 6.4971827901e-18
1.00000000e+21 3784.18515071 7.4375272494e-18
1.00000000e+21 3788.27386467 7.9542682958e-18
1.00000000e+21 3790.68466531 8.1602728180e-18
1.00000000e+21 3792.57473204 8.2567040822e-18
1.00000000e+21 3795.17839673 8.2726956473e-18
1.00000000e+21 3799.07425157 8.0940010323e-18
1.00000000e+21 3807.17454174 7.6777522436e-18
1.00000000e+21 3809.68177441 7.6671481208e-18
1.00000000e+21 3812.67116722 7.7835274608e-18
1.00000000e+21 3816.08485699 8.0750061068e-18
1.00000000e+21 3819.57569928 8.5457993312e-18
1.00000000e+21 3829.46962415 1.0120968592e-17
1.00000000e+21 3835.37126217 1.0733275674e-17
1.00000000e+21 3841.27290018 1.1220184602e-17
1.00000000e+21 3846.26808109 1.1434660644e-17
1.00000000e+21 3849.77820289 1.1488520484e-17
1.00000000e+21 3852.88331708 1.1480584061e-17
1.00000000e+21 3859.57569573 1.1491696670e-17
