# Mg I 2852-A absolute cross sections recovered from Allard et al. 2018 A&A 619 A152 Fig. 6 vector paths
# T=6000 K; n_He=1e21,5e21,1e22 cm^-3; figure-resolution bridge
# helium_density_cm-3 wavelength_vacuum_angstrom cross_section_cm2
1.00000000e+22 2522.00000000 5.4306083726e-18
1.00000000e+22 2522.60000000 5.5358181875e-18
1.00000000e+22 2523.20000000 5.6430662834e-18
1.00000000e+22 2523.80000000 5.7523921486e-18
1.00000000e+22 2524.60000000 5.8638360371e-18
1.00000000e+22 2525.20000000 5.9774389821e-18
1.00000000e+22 2525.80000000 6.0932428121e-18
1.00000000e+22 2526.40000000 6.2004647439e-18
1.00000000e+22 2527.00000000 6.3205893604e-18
1.00000000e+22 2527.80000000 6.4430412095e-18
1.00000000e+22 2528.40000000 6.5564184942e-18
1.00000000e+22 2529.00000000 6.6834391757e-18
1.00000000e+22 2529.60000000 6.8010467094e-18
1.00000000e+22 2530.20000000 6.9328066921e-18
1.00000000e+22 2531.00000000 7.0548023107e-18
1.00000000e+22 2531.60000000 7.1914784241e-18
1.00000000e+22 2532.20000000 7.3180258525e-18
1.00000000e+22 2532.80000000 7.4598015235e-18
1.00000000e+22 2533.40000000 7.5910705956e-18
1.00000000e+22 2534.20000000 7.7246495909e-18
1.00000000e+22 2534.80000000 7.8605791570e-18
1.00000000e+22 2535.40000000 8.0128659767e-18
1.00000000e+22 2536.00000000 8.1538672457e-18
1.00000000e+22 2536.60000000 8.2973496941e-18
1.00000000e+22 2537.40000000 8.4433569829e-18
1.00000000e+22 2538.00000000 8.5919335412e-18
1.00000000e+22 2538.60000000 8.7431245802e-18
1.00000000e+22 2539.20000000 8.8969761066e-18
1.00000000e+22 2540.00000000 9.0535349365e-18
1.00000000e+22 2540.60000000 9.2128487099e-18
1.00000000e+22 2541.20000000 9.3586266326e-18
1.00000000e+22 2541.80000000 9.5233090615e-18
1.00000000e+22 2542.40000000 9.6908893838e-18
1.00000000e+22 2543.20000000 9.8614185933e-18
1.00000000e+22 2543.80000000 1.0017459050e-17
1.00000000e+22 2544.40000000 1.0193734859e-17
1.00000000e+22 2545.00000000 1.0373112570e-17
1.00000000e+22 2545.80000000 1.0537249727e-17
1.00000000e+22 2546.40000000 1.0722672220e-17
1.00000000e+22 2547.00000000 1.0892340575e-17
1.00000000e+22 2547.60000000 1.1084011551e-17
1.00000000e+22 2548.40000000 1.1259397496e-17
1.00000000e+22 2549.00000000 1.1457527521e-17
1.00000000e+22 2549.60000000 1.1638823732e-17
1.00000000e+22 2550.20000000 1.1822988652e-17
1.00000000e+22 2551.00000000 1.2031036110e-17
1.00000000e+22 2551.60000000 1.2221407135e-17
1.00000000e+22 2552.20000000 1.2436465508e-17
1.00000000e+22 2552.80000000 1.2633251775e-17
1.00000000e+22 2553.60000000 1.2833151856e-17
1.00000000e+22 2554.20000000 1.3036215021e-17
1.00000000e+22 2554.80000000 1.3265611452e-17
1.00000000e+22 2555.40000000 1.3475517567e-17
1.00000000e+22 2556.20000000 1.3688745095e-17
1.00000000e+22 2556.80000000 1.3905346593e-17
1.00000000e+22 2557.40000000 1.4150037009e-17
1.00000000e+22 2558.20000000 1.4373937680e-17
1.00000000e+22 2558.80000000 1.4601381204e-17
1.00000000e+22 2559.40000000 1.4832423641e-17
1.00000000e+22 2560.00000000 1.5067121938e-17
1.00000000e+22 2560.80000000 1.5305533944e-17
1.00000000e+22 2561.40000000 1.5574863259e-17
1.00000000e+22 2562.00000000 1.5821309422e-17
1.00000000e+22 2562.60000000 1.6071655183e-17
1.00000000e+22 2563.40000000 1.6325962247e-17
1.00000000e+22 2564.00000000 1.6584293295e-17
1.00000000e+22 2564.60000000 1.6846712000e-17
1.00000000e+22 2565.40000000 1.7113283042e-17
1.00000000e+22 2566.00000000 1.7384072124e-17
1.00000000e+22 2566.60000000 1.7659145992e-17
1.00000000e+22 2567.20000000 1.7938572443e-17
1.00000000e+22 2568.00000000 1.8222420350e-17
1.00000000e+22 2568.60000000 1.8510759676e-17
1.00000000e+22 2569.20000000 1.8803661489e-17
1.00000000e+22 2570.00000000 1.9101197984e-17
1.00000000e+22 2570.60000000 1.9403442496e-17
1.00000000e+22 2571.20000000 1.9710469522e-17
1.00000000e+22 2572.00000000 1.9987458534e-17
1.00000000e+22 2572.60000000 2.0303726637e-17
1.00000000e+22 2573.20000000 2.0624999153e-17
1.00000000e+22 2574.00000000 2.0951355270e-17
1.00000000e+22 2574.60000000 2.1282875427e-17
1.00000000e+22 2575.20000000 2.1619641336e-17
1.00000000e+22 2575.80000000 2.1923459725e-17
1.00000000e+22 2576.60000000 2.2270361809e-17
1.00000000e+22 2577.20000000 2.2622753038e-17
1.00000000e+22 2577.80000000 2.2980720269e-17
1.00000000e+22 2578.60000000 2.3303665747e-17
1.00000000e+22 2579.20000000 2.3672407283e-17
1.00000000e+22 2579.80000000 2.4046983537e-17
1.00000000e+22 2580.60000000 2.4427486834e-17
1.00000000e+22 2581.20000000 2.4770763560e-17
1.00000000e+22 2581.80000000 2.5162719465e-17
1.00000000e+22 2582.60000000 2.5560877417e-17
1.00000000e+22 2583.20000000 2.5920081553e-17
1.00000000e+22 2583.80000000 2.6330223493e-17
1.00000000e+22 2584.60000000 2.6700239164e-17
1.00000000e+22 2585.20000000 2.7122725793e-17
1.00000000e+22 2585.80000000 2.7551897567e-17
1.00000000e+22 2586.60000000 2.7939081286e-17
1.00000000e+22 2587.20000000 2.8381170520e-17
1.00000000e+22 2587.80000000 2.8780007918e-17
1.00000000e+22 2588.60000000 2.9235403410e-17
1.00000000e+22 2589.20000000 2.9646245247e-17
1.00000000e+22 2590.00000000 3.0115347496e-17
1.00000000e+22 2590.60000000 3.0538555088e-17
1.00000000e+22 2591.20000000 3.0967709969e-17
1.00000000e+22 2592.00000000 3.1457722187e-17
1.00000000e+22 2592.60000000 3.1899794020e-17
1.00000000e+22 2593.20000000 3.2404554909e-17
1.00000000e+22 2594.00000000 3.2859932476e-17
1.00000000e+22 2594.60000000 3.3321709412e-17
1.00000000e+22 2595.20000000 3.3848969735e-17
1.00000000e+22 2596.00000000 3.4324645500e-17
1.00000000e+22 2596.60000000 3.4807005884e-17
1.00000000e+22 2597.40000000 3.5357768539e-17
1.00000000e+22 2598.00000000 3.5854647285e-17
1.00000000e+22 2598.60000000 3.6358508612e-17
1.00000000e+22 2599.40000000 3.6869450645e-17
1.00000000e+22 2600.00000000 3.7452848039e-17
1.00000000e+22 2600.60000000 3.7979168701e-17
1.00000000e+22 2601.40000000 3.8512885689e-17
1.00000000e+22 2602.00000000 3.9054102941e-17
1.00000000e+22 2602.80000000 3.9602925859e-17
1.00000000e+22 2603.40000000 4.0159461323e-17
1.00000000e+22 2604.00000000 4.0723817718e-17
1.00000000e+22 2604.80000000 4.1296104949e-17
1.00000000e+22 2605.40000000 4.1876434469e-17
1.00000000e+22 2606.20000000 4.2464919294e-17
1.00000000e+22 2606.80000000 4.3061674030e-17
1.00000000e+22 2607.40000000 4.3666814894e-17
1.00000000e+22 2608.20000000 4.4280459734e-17
1.00000000e+22 2608.80000000 4.4902728056e-17
1.00000000e+22 2609.40000000 4.5533741044e-17
1.00000000e+22 2610.20000000 4.6173621588e-17
1.00000000e+22 2610.80000000 4.6740889150e-17
1.00000000e+22 2611.60000000 4.7397733609e-17
1.00000000e+22 2612.20000000 4.8063808631e-17
1.00000000e+22 2613.00000000 4.8654298148e-17
