# Ca I 4227-A absolute cross sections recovered from Blouin et al. 2019, Fig. 6 vector paths
# n_He=5e21 cm^-3; T=3000,4000,5000,6000 K
# temperature_kelvin wavelength_vacuum_angstrom cross_section_cm2
4000.0 3584.17695839 1.1469388486e-17
4000.0 3592.77696672 1.2073539859e-17
4000.0 3615.97332287 1.3779915612e-17
4000.0 3623.37669502 1.4521777661e-17
4000.0 3645.87610911 1.7052030080e-17
4000.0 3658.07917786 1.8316809644e-17
4000.0 3668.58591967 1.9524118854e-17
4000.0 3676.58103564 2.0643403406e-17
4000.0 3699.88259003 2.4344446407e-17
4000.0 3724.98567295 2.8380294943e-17
4000.0 3748.48447864 3.3566998061e-17
4000.0 3758.38632137 3.5495686239e-17
4000.0 3768.77471307 3.7761204922e-17
4000.0 3776.78297757 3.9955351852e-17
4000.0 3795.17963376 4.5518586788e-17
4000.0 3810.38087394 4.9746771608e-17
4000.0 3819.98027386 5.2934839667e-17
4000.0 3851.38214246 6.5248188707e-17
4000.0 3865.97849028 7.1615479177e-17
4000.0 3888.88554878 8.3406181437e-17
4000.0 3903.67914119 9.1691354409e-17
4000.0 3940.57765181 1.1676392769e-16
4000.0 3993.47954626 1.6574166878e-16
4000.0 4026.38050057 2.0737194556e-16
4000.0 4057.58512122 2.5787418795e-16
4000.0 4082.08331179 3.0902725343e-16
4000.0 4096.87690756 3.4700201374e-16
4000.0 4118.07448388 4.1410628664e-16
4000.0 4131.97388629 4.6940107363e-16
4000.0 4143.78246251 5.2669603177e-16
4000.0 4158.57605492 6.1816372169e-16
4000.0 4169.88493702 7.0856182191e-16
4000.0 4177.88005300 7.8854910916e-16
4000.0 4182.67975296 8.4693344717e-16
4000.0 4189.97792687 9.5767330875e-16
4000.0 4196.38190742 1.0878128852e-15
4000.0 4204.28497368 1.3162748060e-15
4000.0 4221.27459723 2.0464610157e-15
4000.0 4224.98285589 2.1736121297e-15
4000.0 4228.28347349 2.2401202332e-15
4000.0 4231.67613745 2.2480935519e-15
4000.0 4235.38439610 2.1829528009e-15
4000.0 4239.27675754 2.0484678611e-15
4000.0 4243.57676002 1.8544873240e-15
4000.0 4248.78410439 1.6027012635e-15
4000.0 4264.18259251 1.0173002694e-15
4000.0 4276.97740845 7.3806764647e-16
4000.0 4286.57680837 5.9396048898e-16
4000.0 4300.30526323 4.3741734650e-16
4000.0 4312.20588917 3.3292586198e-16
4000.0 4329.11660816 2.2381999425e-16
4000.0 4339.09735545 1.7731667228e-16
4000.0 4365.16038105 9.8034787213e-17
4000.0 4396.43075102 4.9564262398e-17
4000.0 4410.61945108 3.7137229064e-17
4000.0 4434.03935557 2.3950973956e-17
4000.0 4462.71920187 1.4689985656e-17
4000.0 4484.36387488 1.0392198650e-17
4000.0 4494.68651390 8.8827492106e-18
4000.0 4512.32047872 6.8971855678e-18
4000.0 4523.76085945 5.9105681698e-18
4000.0 4540.46118198 4.7722945022e-18
4000.0 4572.99394080 3.1475893488e-18
4000.0 4585.64410623 2.6404449668e-18
4000.0 4600.45085052 2.1246396960e-18
4000.0 4627.01357024 1.4292318349e-18
4000.0 4645.14722917 1.1145241616e-18
4000.0 4656.92950499 9.6343987671e-19
4000.0 4673.05123558 8.0652739617e-19
4000.0 4681.66439578 7.3978779478e-19
4000.0 4690.29070451 6.8282405604e-19
4000.0 4698.94331363 6.3404152000e-19
4000.0 4708.68736070 5.8701548997e-19
4000.0 4724.98003883 5.2002759101e-19
4000.0 4740.23387980 4.6636296985e-19
4000.0 4748.97853527 4.4172574003e-19
4000.0 4756.64490468 4.2422270594e-19
4000.0 4767.59873981 4.0339009624e-19
4000.0 4780.78805163 3.7923477471e-19
4000.0 4788.50701847 3.6282725199e-19
4000.0 4797.33057514 3.4202151377e-19
4000.0 4800.64434127 3.3398808602e-19
5000.0 3299.98215078 1.7330041857e-18
5000.0 3318.48400857 2.0869731386e-18
5000.0 3329.47729261 2.3007572594e-18
5000.0 3342.98219913 2.6009528556e-18
5000.0 3356.47395713 2.9813071026e-18
5000.0 3386.48194160 4.1324469824e-18
5000.0 3404.98379603 5.0403213376e-18
5000.0 3413.97830024 5.4943583867e-18
5000.0 3422.48626221 5.8989932670e-18
5000.0 3429.98168407 6.2249578255e-18
5000.0 3437.97680005 6.5328179895e-18
5000.0 3446.98445278 6.8382868967e-18
5000.0 3458.47743095 7.1879187015e-18
5000.0 3470.48325511 7.5111252641e-18
5000.0 3497.47992299 8.2451137173e-18
5000.0 3506.27717926 8.6179685398e-18
5000.0 3514.78513787 9.0685870263e-18
5000.0 3530.68332011 9.9951000808e-18
5000.0 3538.98088562 1.0420247371e-17
5000.0 3548.77753013 1.0860816879e-17
5000.0 3562.67693590 1.1531384187e-17
5000.0 3571.18489451 1.2075019013e-17
5000.0 3579.57450638 1.2746940907e-17
5000.0 3605.37453471 1.5091320292e-17
5000.0 3615.88127316 1.5950616392e-17
5000.0 3629.78067893 1.7179946287e-17
5000.0 3640.18221914 1.8354999579e-17
5000.0 3663.18132736 2.1434645459e-17
5000.0 3673.88531375 2.2769216182e-17
5000.0 3688.17921204 2.4708030190e-17
5000.0 3699.77739180 2.6674323937e-17
5000.0 3714.97862862 2.9486141945e-17
5000.0 3726.77405632 3.1576317626e-17
5000.0 3741.68599884 3.4513645205e-17
5000.0 3773.78480950 4.2334004283e-17
5000.0 3789.57779350 4.6436742743e-17
5000.0 3827.88334013 5.9069485519e-17
5000.0 3841.37509813 6.4091439803e-17
5000.0 3866.88582881 7.5452512781e-17
5000.0 3887.67576072 8.5695359748e-17
5000.0 3919.87976961 1.0481707426e-16
5000.0 3963.77400797 1.3796808272e-16
5000.0 4020.47621078 1.9935028925e-16
5000.0 4062.17442136 2.6508172041e-16
5000.0 4081.78086561 3.0533905280e-16
5000.0 4097.28455197 3.4361753420e-16
5000.0 4114.48457198 3.9551107141e-16
5000.0 4130.08030804 4.5373819760e-16
5000.0 4146.78063058 5.3351537102e-16
5000.0 4154.98614302 5.8207394211e-16
5000.0 4166.67637249 6.6629584365e-16
5000.0 4174.18494286 7.3347031436e-16
5000.0 4179.37913871 7.8961255819e-16
5000.0 4186.58526291 8.8599240899e-16
5000.0 4193.08129317 1.0003675498e-15
5000.0 4200.98435944 1.1911917427e-15
5000.0 4210.17611160 1.4977119489e-15
5000.0 4216.27764933 1.7372557348e-15
5000.0 4220.48560546 1.8944456465e-15
5000.0 4222.57643165 1.9584010850e-15
5000.0 4225.18010383 2.0252599244e-15
5000.0 4228.37551984 2.0765160394e-15
5000.0 4231.78133568 2.0844176760e-15
5000.0 4235.38439610 2.0389530313e-15
5000.0 4239.27675754 1.9357391596e-15
5000.0 4243.48471031 1.7840622181e-15
5000.0 4248.37645998 1.5851260982e-15
5000.0 4257.97585991 1.2211893051e-15
5000.0 4268.98229247 9.1556644972e-16
5000.0 4278.88413857 7.2596057766e-16
5000.0 4315.19090536 3.3608148558e-16
5000.0 4333.11416783 2.3030133342e-16
5000.0 4350.10378802 1.6078147475e-16
5000.0 4376.23256293 9.3827809783e-17
5000.0 4396.43075102 6.3879777748e-17
5000.0 4411.64513971 4.8781095090e-17
5000.0 4432.00112682 3.4657714830e-17
5000.0 4446.30817364 2.7524205107e-17
5000.0 4468.88648556 1.9536082704e-17
5000.0 4481.26050522 1.6394423932e-17
5000.0 4495.72535441 1.3538935896e-17
5000.0 4508.16512338 1.1606505676e-17
5000.0 4521.68318178 9.8988258913e-18
5000.0 4555.12327912 6.7773995236e-18
5000.0 4572.99394080 5.5186453304e-18
5000.0 4589.86521424 4.5091191847e-18
5000.0 4606.81538551 3.6434178319e-18
5000.0 4653.72094046 2.0059981317e-18
5000.0 4667.67294366 1.7133702670e-18
5000.0 4680.58610635 1.4960614768e-18
5000.0 4692.44728337 1.3318478203e-18
5000.0 4706.51763332 1.1753899474e-18
5000.0 4720.62743555 1.0490700990e-18
5000.0 4734.77668669 9.4381222088e-19
5000.0 4745.70422143 8.7520377156e-19
5000.0 4800.64434127 6.1363628576e-19
6000.0 3299.98215078 2.0686444212e-18
6000.0 3330.97637497 2.7771479380e-18
6000.0 3379.48621386 4.4832290445e-18
6000.0 3403.98440779 5.7745695995e-18
6000.0 3413.47860612 6.2947484463e-18
6000.0 3421.97341622 6.7360090810e-18
6000.0 3430.48137819 7.1448966182e-18
6000.0 3440.47527064 7.5851064997e-18
6000.0 3450.98201245 8.0081654141e-18
6000.0 3460.47621078 8.3487970421e-18
6000.0 3468.48447864 8.5916127226e-18
6000.0 3479.47776268 8.8610100920e-18
6000.0 3496.48053139 9.2833011371e-18
6000.0 3503.88390354 9.5451062142e-18
6000.0 3510.87963128 9.8649264352e-18
6000.0 3519.17719343 1.0336327828e-17
6000.0 3545.38486617 1.2021878199e-17
6000.0 3555.48396021 1.2560905704e-17
6000.0 3575.48490035 1.3658894323e-17
6000.0 3584.08490868 1.4316853853e-17
6000.0 3592.88216495 1.5148746824e-17
6000.0 3612.18616303 1.7219984975e-17
6000.0 3621.78556295 1.8175974334e-17
6000.0 3653.27948126 2.1476704150e-17
6000.0 3683.27431385 2.5910930498e-17
6000.0 3716.47771433 3.1421950702e-17
6000.0 3738.77988048 3.5906838259e-17
6000.0 3760.17470475 4.0866299258e-17
6000.0 3781.17503312 4.6334448606e-17
6000.0 3806.08087146 5.3554554045e-17
6000.0 3835.18151404 6.4060037520e-17
6000.0 3854.98520624 7.1756001835e-17
6000.0 3900.18127900 9.4427484883e-17
6000.0 3913.47578906 1.0258109881e-16
6000.0 3930.08406524 1.1358913390e-16
6000.0 3959.97369960 1.3618790405e-16
6000.0 4036.97928873 2.2226239734e-16
6000.0 4071.37932540 2.8120708288e-16
6000.0 4090.38087394 3.2284362178e-16
6000.0 4107.68609218 3.6969261917e-16
6000.0 4123.47907619 4.2266630610e-16
6000.0 4141.07359209 4.9740676220e-16
6000.0 4154.57849861 5.7112456949e-16
6000.0 4166.67637249 6.5633031514e-16
6000.0 4173.58004715 7.1729630885e-16
6000.0 4179.48433694 7.8066668761e-16
6000.0 4186.58526291 8.7670619913e-16
6000.0 4193.38373935 9.9718601832e-16
