obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"315.887"	"315.8869"	"170"	"3.1e+08"	"9.3e-01"	"0.27"	C	"25191.51"	"56839.25"	"3p6.4p"	"2P*"	"1/2"	"3p6.4d"	"2D"	"3/2"		"T8043"	"L7323"	
"317.933"	"317.9331"	"180"	"3.6e+08"	"8.2e-01"	"0.52"	C	"25414.40"	"56858.46"	"3p6.4p"	"2P*"	"3/2"	"3p6.4d"	"2D"	"5/2"		"u7,LS"	"L7323"	
"318.128"	"318.1275"	"150"	"5.8e+07"	"8.8e-02"	"-0.45"	C	"25414.40"	"56839.25"	"3p6.4p"	"2P*"	"3/2"	"3p6.4d"	"2D"	"3/2"		"T8043"	"L7323"	
"370.603"	"370.6024"	"170"	"8.8e+07"	"1.8e-01"	"-0.44"	C	"25191.51"	"52166.93"	"3p6.4p"	"2P*"	"1/2"	"3p6.5s"	"2S"	"1/2"		"T8043"	"L7323"	
"373.690"	"373.6902"	"180"	"1.7e+08"	"1.8e-01"	"-0.15"	C	"25414.40"	"52166.93"	"3p6.4p"	"2P*"	"3/2"	"3p6.5s"	"2S"	"1/2"		"T8043"	"L7323"	
"393.366"	"393.3663"	"230"	"1.47e+08"	"6.82e-01"	"0.135"	C	"0.00"	"25414.40"	"3p6.4s"	"2S"	"1/2"	"3p6.4p"	"2P*"	"3/2"		"T8043"	"L7323"	
"396.847"	"396.8469"	"220"	"1.4e+08"	"3.3e-01"	"-0.18"	C	"0.00"	"25191.51"	"3p6.4s"	"2S"	"1/2"	"3p6.4p"	"2P*"	"1/2"		"T8043"	"L7323"	
"409.710"	"409.7098"	"50"	"9.9e+06"	"5.0e-02"	"-1.00"	D	"60533.02"	"84933.65"	"3p6.5p"	"2P*"	"1/2"	"3p6.7d"	"2D"	"3/2"		"T1619CA,LS"	"L7323"	
"410.982"	"410.9815"	"60"	"1.2e+07"	"4.6e-02"	"-0.74"	D	"60611.28"	"84936.41"	"3p6.5p"	"2P*"	"3/2"	"3p6.7d"	"2D"	"5/2"		"T1619CA,LS"	"L7323"	
"411.028"	"411.0282"	"30"	"1.9e+06"	"4.8e-03"	"-1.72"	D	"60611.28"	"84933.65"	"3p6.5p"	"2P*"	"3/2"	"3p6.7d"	"2D"	"3/2"		"T1619CA,LS"	"L7323"	
"420.618"	"420.6176"	"40"	"4.3e+06"	"1.1e-02"	"-1.64"	D	"60533.02"	"84300.89"	"3p6.5p"	"2P*"	"1/2"	"3p6.8s"	"2S"	"1/2"		"T1619CA,LS"	"L7323"	
"422.007"	"422.0071"	"50"	"8.5e+06"	"1.1e-02"	"-1.34"	D	"60611.28"	"84300.89"	"3p6.5p"	"2P*"	"3/2"	"3p6.8s"	"2S"	"1/2"		"T1619CA,LS"	"L7323"	
"500.148"	"500.1479"	"70"	"2.0e+07"	"1.5e-01"	"-0.52"	D	"60533.02"	"80521.53"	"3p6.5p"	"2P*"	"1/2"	"3p6.6d"	"2D"	"3/2"		"T1619CA,LS"	"L7323"	
"501.997"	"501.9971"	"80"	"2.3e+07"	"1.3e-01"	"-0.28"	D	"60611.28"	"80526.16"	"3p6.5p"	"2P*"	"3/2"	"3p6.6d"	"2D"	"5/2"		"T1619CA,LS"	"L7323"	
"502.114"	"502.1138"	"40"	"3.9e+06"	"1.5e-02"	"-1.23"	D	"60611.28"	"80521.53"	"3p6.5p"	"2P*"	"3/2"	"3p6.6d"	"2D"	"3/2"		"T1619CA,LS"	"L7323"	
"528.527"	"528.5266"	"60"	"7.8e+06"	"3.3e-02"	"-1.18"	D	"60533.02"	"79448.28"	"3p6.5p"	"2P*"	"1/2"	"3p6.7s"	"2S"	"1/2"		"T1619CA,LS"	"L7323"	
"530.722"	"530.7224"	"70"	"1.5e+07"	"3.2e-02"	"-0.90"	D	"60611.28"	"79448.28"	"3p6.5p"	"2P*"	"3/2"	"3p6.7s"	"2S"	"1/2"		"T1619CA,LS"	"L7323"	
"729.147"	"729.147"	""	"1.3e+00"	"3.1e-08"	"-7.21"	E	"0.00"	"13710.88"	"3p6.4s"	"2S"	"1/2"	"3p6.3d"	"2D"	"5/2"	E2	"T340"	"L7323"	
