obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"615.6023"	""	"2.3e+05"	"2.2e-03"	"-2.18"	E	"20335.360"	"36575.119"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.5p"	"3P*"	"2"		"T866LS"	""	
"616.129"	"616.1297"	"22"	"3.3e+06"	"1.9e-02"	"-1.03"	D	"20349.260"	"36575.119"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.5p"	"3P*"	"2"		"T866LS"	"L6097"	
"616.217"	"616.2173"	"30"	"4.77e+07"	"1.63e-01"	"-0.089"	C	"15315.943"	"31539.495"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.5s"	"3S"	"1"		"T8043"	"L6097"	
"616.376"	"616.3755"	"22"	"5.6e+06"	"3.2e-02"	"-1.02"	D	"20335.360"	"36554.749"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.5p"	"3P*"	"1"		"T866LS"	"L6097"	
"616.644"	"616.6439"	"24"	"2.2e+07"	"4.2e-02"	"-0.90"	D	"20335.360"	"36547.688"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.5p"	"3P*"	"0"		"T866LS"	"L6097"	
"616.906"	"616.9042"	"26"	"1.7e+07"	"5.8e-02"	"-0.54"	D	"20349.260"	"36554.749"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.5p"	"3P*"	"1"		"T866LS"	"L6097"	
"616.956"	"616.9563"	"28"	"1.9e+07"	"7.7e-02"	"-0.27"	D	"20371.000"	"36575.119"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.5p"	"3P*"	"2"		"T866LS"	"L6097"	
"643.907"	"643.9075"	"35"	"5.3e+07"	"4.2e-01"	"0.47"	D	"20371.000"	"35896.889"	"3p6.3d.4s"	"3D"	"3"	"3p6.3d.4p"	"3F*"	"4"		"T866LS"	"L6097"	
"644.981"	"644.9808"	"30"	"9.0e+06"	"9.4e-02"	"-0.55"	D	"20335.360"	"35835.413"	"3p6.3d.4s"	"3D"	"1"	"3p6.3d.4p"	"1D*"	"2"		"T866"	"L6097"	
"645.560"	"645.5598"	"22"	"1.4e+06"	"8.8e-03"	"-1.36"	E	"20349.260"	"35835.413"	"3p6.3d.4s"	"3D"	"2"	"3p6.3d.4p"	"1D*"	"2"		"T539n"	"L6097"	
"646.257"	"646.2567"	"34"	"4.7e+07"	"4.1e-01"	"0.31"	D	"20349.260"	"35818.713"	"3p6.3d.4s"	"3D"	"2"	"3p6.3d.4p"	"3F*"	"3"		"T866LS"	"L6097"	
"647.166"	"647.1662"	"29"	"5.9e+06"	"3.7e-02"	"-0.59"	D	"20371.000"	"35818.713"	"3p6.3d.4s"	"3D"	"3"	"3p6.3d.4p"	"3F*"	"3"		"T866LS"	"L6097"	
"649.378"	"649.3781"	"32"	"4.4e+07"	"4.6e-01"	"0.14"	D	"20335.360"	"35730.454"	"3p6.3d.4s"	"3D"	"1"	"3p6.3d.4p"	"3F*"	"2"		"T866LS"	"L6097"	
"649.965"	"649.9650"	"28"	"8.1e+06"	"5.1e-02"	"-0.59"	D	"20349.260"	"35730.454"	"3p6.3d.4s"	"3D"	"2"	"3p6.3d.4p"	"3F*"	"2"		"T866LS"	"L6097"	
""	"650.8850"	""	"2.4e+05"	"1.1e-03"	"-2.12"	E	"20371.000"	"35730.454"	"3p6.3d.4s"	"3D"	"3"	"3p6.3d.4p"	"3F*"	"2"		"T866LS"	""	
"657.278"	"657.2779"	"23"	"2.6e+03"	"5.1e-05"	"-4.30"	D+	"0.000"	"15210.063"	"3p6.4s2"	"1S"	"0"	"3p6.4s.4p"	"3P*"	"1"		"T67"	"L6097"	
"671.769"	"671.7681"	"30"	"1.2e+07"	"4.9e-02"	"-0.61"	E	"21849.634"	"36731.615"	"3p6.3d.4s"	"1D"	"2"	"3p6.4s.5p"	"1P*"	"1"		"T539n"	"L6097"	
