obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"413.082"	"0.002"	"413.08376"	"0.00003"	""	"8.62e+03"	"2.21e-05"	"-4.05"	B	"16973.36619"	"[41174.705]"	"2p6.3p"	"2P*"	"3/2"	"2p6.20d"	"2D"	"3/2"		"T7799"	"L9493"	
"413.082"	"0.002"	"413.08376"	"0.00003"	""	"5.17e+04"	"1.99e-04"	"-3.10"	B	"16973.36619"	"[41174.705]"	"2p6.3p"	"2P*"	"3/2"	"2p6.20d"	"2D"	"5/2"		"T7799"	"L9493"	
"413.584"	"0.002"	"413.59142"	"0.00003"	""	"1.01e+04"	"2.59e-05"	"-3.98"	B	"16973.36619"	"[41145.000]"	"2p6.3p"	"2P*"	"3/2"	"2p6.19d"	"2D"	"3/2"		"T7799"	"L9493"	
"413.584"	"0.002"	"413.59143"	"0.00003"	""	"6.06e+04"	"2.33e-04"	"-3.03"	B	"16973.36619"	"[41144.999]"	"2p6.3p"	"2P*"	"3/2"	"2p6.19d"	"2D"	"5/2"		"T7799"	"L9493"	
"413.774"	"0.002"	"413.77933"	"0.00003"	""	"3.40e+04"	"4.37e-05"	"-3.76"	B	"16973.36619"	"[41134.023]"	"2p6.3p"	"2P*"	"3/2"	"2p6.20s"	"2S"	"1/2"		"T7799"	"L9493"	
"414.184"	"0.002"	"414.18770"	"0.00003"	""	"1.12e+04"	"2.88e-05"	"-3.94"	B	"16973.36619"	"[41110.202]"	"2p6.3p"	"2P*"	"3/2"	"2p6.18d"	"2D"	"3/2"		"T7799"	"L9493"	
"414.184"	"0.002"	"414.18770"	"0.00003"	""	"6.72e+04"	"2.59e-04"	"-2.98"	B	"16973.36619"	"[41110.202]"	"2p6.3p"	"2P*"	"3/2"	"2p6.18d"	"2D"	"5/2"		"T7799"	"L9493"	
"414.403"	"0.002"	"414.40972"	"0.00003"	""	"4.01e+04"	"5.17e-05"	"-3.68"	B	"16973.36619"	"[41097.271]"	"2p6.3p"	"2P*"	"3/2"	"2p6.19s"	"2S"	"1/2"		"T7799"	"L9493"	
"414.893"	"0.002"	"414.89457"	"0.00003"	""	"1.42e+04"	"3.67e-05"	"-3.83"	B	"16973.36619"	"[41069.080]"	"2p6.3p"	"2P*"	"3/2"	"2p6.17d"	"2D"	"3/2"		"T7799"	"L9493"	
"414.893"	"0.002"	"414.89459"	"0.00003"	""	"8.52e+04"	"3.30e-04"	"-2.88"	B	"16973.36619"	"[41069.079]"	"2p6.3p"	"2P*"	"3/2"	"2p6.17d"	"2D"	"5/2"		"T7799"	"L9493"	
