obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	""	"668.02601"	"0.00016"	""	"8.5e+03"	"5.7e-05"	"-3.94"	C'	"25739.999"	"[40705.344]"	"2p6.4s"	"2S"	"1/2"	"2p6.13p"	"2P*"	"1/2"		"T817"	""	
""	""	"674.30854"	"0.00016"	""	"1.11e+04"	"1.51e-04"	"-3.519"	C'	"25739.999"	"[40565.913]"	"2p6.4s"	"2S"	"1/2"	"2p6.12p"	"2P*"	"3/2"		"T817"	""	
""	""	"674.31445"	"0.00016"	""	"1.11e+04"	"7.57e-05"	"-3.820"	C'	"25739.999"	"[40565.783]"	"2p6.4s"	"2S"	"1/2"	"2p6.12p"	"2P*"	"1/2"		"T817"	""	
""	""	"682.72719"	"0.00017"	""	"1.53e+04"	"2.14e-04"	"-3.369"	C'	"25739.999"	"40383.097"	"2p6.4s"	"2S"	"1/2"	"2p6.11p"	"2P*"	"3/2"		"T817"	""	
""	""	"682.73521"	"0.00017"	""	"1.53e+04"	"1.07e-04"	"-3.670"	C'	"25739.999"	"40382.925"	"2p6.4s"	"2S"	"1/2"	"2p6.11p"	"2P*"	"1/2"		"T817"	""	
""	""	"694.39549"	"0.00017"	""	"2.23e+04"	"3.23e-04"	"-3.190"	C'	"25739.999"	"40137.043"	"2p6.4s"	"2S"	"1/2"	"2p6.10p"	"2P*"	"3/2"		"T817"	""	
""	""	"694.40672"	"0.00017"	""	"2.23e+04"	"1.61e-04"	"-3.491"	C'	"25739.999"	"40136.810"	"2p6.4s"	"2S"	"1/2"	"2p6.10p"	"2P*"	"1/2"		"T817"	""	
""	""	"711.30404"	"0.00018"	""	"4.43e+04"	"6.72e-04"	"-2.872"	C+	"25739.999"	"[39794.810]"	"2p6.4s"	"2S"	"1/2"	"2p6.9p"	"2P*"	"3/2"		"c30"	""	
""	""	"711.32080"	"0.00018"	""	"4.32e+04"	"3.28e-04"	"-3.183"	C+	"25739.999"	"[39794.479]"	"2p6.4s"	"2S"	"1/2"	"2p6.9p"	"2P*"	"1/2"		"c30"	""	
"737.323"	"0.002"	"737.3231"	"0.0011"	"2"	"5.42e+04"	"8.83e-04"	"-2.753"	B	"25739.999"	"39298.84"	"2p6.4s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"3/2"		"c30"	"L6096"	
"737.349"	"0.002"	"737.3497"	"0.0011"	"1"	"5.30e+04"	"4.32e-04"	"-3.063"	B	"25739.999"	"39298.35"	"2p6.4s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"1/2"		"c30"	"L6096"	
""	""	"750.7464"	"0.0011"	""	"8.93e+00"	"1.51e-07"	"-6.52"	A	"16956.17025"	"30272.58"	"2p6.3p"	"2P*"	"1/2"	"2p6.4p"	"2P*"	"3/2"	E2	"c27"	""	
""	""	"750.7464"	"0.0011"	""	"6.24e-06"	"1.06e-13"	"-12.67"	D+	"16956.17025"	"30272.58"	"2p6.3p"	"2P*"	"1/2"	"2p6.4p"	"2P*"	"3/2"	M1	"c27"	""	
""	""	"751.0617"	"0.0011"	""	"1.15e-06"	"9.73e-15"	"-13.71"	D	"16956.17025"	"30266.99"	"2p6.3p"	"2P*"	"1/2"	"2p6.4p"	"2P*"	"1/2"	M1	"c27"	""	
""	""	"751.7172"	"0.0011"	""	"8.88e+00"	"7.53e-08"	"-6.52"	A	"16973.36619"	"30272.58"	"2p6.3p"	"2P*"	"3/2"	"2p6.4p"	"2P*"	"3/2"	E2	"c27"	""	
""	""	"751.7172"	"0.0011"	""	"4.28e-05"	"3.63e-13"	"-11.84"	C	"16973.36619"	"30272.58"	"2p6.3p"	"2P*"	"3/2"	"2p6.4p"	"2P*"	"3/2"	M1	"c27"	""	
""	""	"752.0333"	"0.0011"	""	"1.78e+01"	"7.55e-08"	"-6.52"	A	"16973.36619"	"30266.99"	"2p6.3p"	"2P*"	"3/2"	"2p6.4p"	"2P*"	"1/2"	E2	"c27"	""	
""	""	"752.0333"	"0.0011"	""	"8.84e-06"	"3.75e-14"	"-12.82"	D+	"16973.36619"	"30266.99"	"2p6.3p"	"2P*"	"3/2"	"2p6.4p"	"2P*"	"1/2"	M1	"c27"	""	
"780.978"	"0.002"	"780.9783"	"0.0012"	"4"	"9.91e+04"	"1.81e-03"	"-2.441"	B	"25739.999"	"38540.93"	"2p6.4s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"3/2"		"c30"	"L6096"	
"781.024"	"0.002"	"781.0241"	"0.0012"	"3"	"9.72e+04"	"8.89e-04"	"-2.750"	B	"25739.999"	"38540.18"	"2p6.4s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"1/2"		"c30"	"L6096"	
"818.32556"	"0.00005"	"818.32556"	"0.00013"	"5"	"4.29e+07"	"8.62e-01"	"0.237"	A+	"16956.17025"	"29172.887"	"2p6.3p"	"2P*"	"1/2"	"2p6.3d"	"2D"	"3/2"		"c30"	"L15039"	
"819.47905"	"0.00005"	"819.47904"	"0.00013"	"1"	"8.57e+06"	"8.63e-02"	"-0.462"	A	"16973.36619"	"29172.887"	"2p6.3p"	"2P*"	"3/2"	"2p6.3d"	"2D"	"3/2"		"c30"	"L15039"	
"819.48237"	"0.00005"	"819.48240"	"0.00013"	"9"	"5.14e+07"	"7.77e-01"	"0.492"	A+	"16973.36619"	"29172.837"	"2p6.3p"	"2P*"	"3/2"	"2p6.3d"	"2D"	"5/2"		"c30"	"L15039"	
"864.992"	"0.002"	"864.9931"	"0.0015"	"7"	"2.25e+05"	"5.04e-03"	"-1.997"	B+	"25739.999"	"37297.61"	"2p6.4s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"3/2"		"c30"	"L6096"	
"865.089"	"0.002"	"865.0897"	"0.0015"	"6"	"2.21e+05"	"2.48e-03"	"-2.305"	B+	"25739.999"	"37296.32"	"2p6.4s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"1/2"		"c30"	"L6096"	
""	""	"879.30809"	"0.00022"	""	"1.63e+04"	"1.89e-04"	"-2.945"	C'	"29172.837"	"[40542.293]"	"2p6.3d"	"2D"	"5/2"	"2p6.11f"	"2F*"	"5/2"		"T817"	""	
""	""	"879.30809"	"0.00022"	""	"2.45e+05"	"3.79e-03"	"-1.643"	C'	"29172.837"	"[40542.293]"	"2p6.3d"	"2D"	"5/2"	"2p6.11f"	"2F*"	"7/2"		"T817"	""	
""	""	"879.31196"	"0.00022"	""	"2.29e+05"	"3.98e-03"	"-1.798"	C'	"29172.887"	"[40542.293]"	"2p6.3d"	"2D"	"3/2"	"2p6.11f"	"2F*"	"5/2"		"T817"	""	
"894.296"	"0.002"	"894.29495"	"0.00023"	"2*"	"3.71e+05"	"5.93e-03"	"-1.448"	C'	"29172.837"	"[40351.761]"	"2p6.3d"	"2D"	"5/2"	"2p6.10f"	"2F*"	"7/2"		"T817"	"L6096"	
"894.296"	"0.002"	"894.29495"	"0.00023"	"2*"	"2.47e+04"	"2.96e-04"	"-2.750"	C'	"29172.837"	"[40351.761]"	"2p6.3d"	"2D"	"5/2"	"2p6.10f"	"2F*"	"5/2"		"T817"	"L6096"	
""	""	"894.29895"	"0.00023"	""	"3.46e+05"	"6.23e-03"	"-1.604"	C'	"29172.887"	"[40351.761]"	"2p6.3d"	"2D"	"3/2"	"2p6.10f"	"2F*"	"5/2"		"T817"	""	
