obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"394.729"	"394.72949"	"185"	"4.91e+05"	"1.61e-03"	"-2.095"	B	"73768.200"	"99094.837"	"2s2.2p3.(4S*).3s"	"5S*"	"2"	"2s2.2p3.(4S*).4p"	"5P"	"3"		"T5803,LS"	"L3760"	
"394.748"	"394.74813"	"160"	"4.88e+05"	"1.14e-03"	"-2.244"	B	"73768.200"	"99093.641"	"2s2.2p3.(4S*).3s"	"5S*"	"2"	"2s2.2p3.(4S*).4p"	"5P"	"2"		"T5803,LS"	"L3760"	
"394.759"	"394.75862"	"140"	"4.87e+05"	"6.83e-04"	"-2.467"	B	"73768.200"	"99092.968"	"2s2.2p3.(4S*).3s"	"5S*"	"2"	"2s2.2p3.(4S*).4p"	"5P"	"1"		"T5803,LS"	"L3760"	
""	"395.19278"	""	"3.10e+05"	"2.42e-04"	"-3.139"	C	"88630.587"	"113927.534"	"2s2.2p3.(4S*).3p"	"3P"	"1"	"2s2.2p3.(2P*).3s"	"3P*"	"0"		"T5713LS"	""	
""	"395.28877"	""	"7.74e+04"	"1.81e-04"	"-3.264"	C	"88630.587"	"113921.391"	"2s2.2p3.(4S*).3p"	"3P"	"1"	"2s2.2p3.(2P*).3s"	"3P*"	"1"		"T5713LS"	""	
""	"395.29751"	""	"1.29e+05"	"1.81e-04"	"-3.042"	C	"88631.146"	"113921.391"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(2P*).3s"	"3P*"	"1"		"T5713LS"	""	
""	"395.29996"	""	"1.03e+05"	"7.24e-04"	"-3.140"	C	"88631.303"	"113921.391"	"2s2.2p3.(4S*).3p"	"3P"	"0"	"2s2.2p3.(2P*).3s"	"3P*"	"1"		"T5713LS"	""	
""	"395.45192"	""	"7.73e+04"	"3.02e-04"	"-3.043"	C	"88630.587"	"113910.957"	"2s2.2p3.(4S*).3p"	"3P"	"1"	"2s2.2p3.(2P*).3s"	"3P*"	"2"		"T5713LS"	""	
"395.461"	"395.46067"	"100"	"2.32e+05"	"5.44e-04"	"-2.565"	C+	"88631.146"	"113910.957"	"2s2.2p3.(4S*).3p"	"3P"	"2"	"2s2.2p3.(2P*).3s"	"3P*"	"2"		"T5713LS"	"L3760"	
""	"399.79533"	""	"2.41e+06"	"3.47e-03"	"-1.761"	B	"102662.026"	"127667.754"	"2s2.2p3.(2D*).3s"	"1D*"	"2"	"2s2.2p3.(2P*).3p"	"1P"	"1"		"T5713"	""	
