obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"309.1065"	"309.10640"	"20"	"3.09e+07"	"1.33e-01"	"-0.876"	B	"21850.405"	"54192.335"	"3s.3p"	"3P*"	"0"	"3s.4d"	"3D"	"1"		"T4391"	"L6095"	
""	"309.29824"	""	"2.08e+07"	"2.98e-02"	"-1.049"	C	"21870.464"	"54192.335"	"3s.3p"	"3P*"	"1"	"3s.4d"	"3D"	"1"		"T6298c72,LS"	""	
"309.2984"	"309.29863"	"22"	"3.74e+07"	"8.94e-02"	"-0.572"	C	"21870.464"	"54192.294"	"3s.3p"	"3P*"	"1"	"3s.4d"	"3D"	"2"		"T6298c72,LS"	"L6095"	
""	"309.68835"	""	"1.38e+06"	"1.19e-03"	"-2.225"	D	"21911.178"	"54192.335"	"3s.3p"	"3P*"	"2"	"3s.4d"	"3D"	"1"		"T6298c72,LS"	""	
""	"309.68875"	""	"1.24e+07"	"1.79e-02"	"-1.048"	C	"21911.178"	"54192.294"	"3s.3p"	"3P*"	"2"	"3s.4d"	"3D"	"2"		"T6298c72,LS"	""	
"309.6890"	"309.68911"	"24"	"4.96e+07"	"1.00e-01"	"-0.301"	C+	"21911.178"	"54192.256"	"3s.3p"	"3P*"	"2"	"3s.4d"	"3D"	"3"		"T6298c72,LS"	"L6095"	
"332.9919"	"332.99194"	"17"	"3.09e+06"	"1.54e-02"	"-1.812"	D+	"21850.405"	"51872.526"	"3s.3p"	"3P*"	"0"	"3s.5s"	"3S"	"1"		"T6298c72,LS"	"L6095"	
"333.2146"	"333.21458"	"19"	"1.02e+07"	"1.70e-02"	"-1.292"	B	"21870.464"	"51872.526"	"3s.3p"	"3P*"	"1"	"3s.5s"	"3S"	"1"		"T4391"	"L6095"	
"333.6674"	"333.66740"	"20"	"1.70e+07"	"1.70e-02"	"-1.071"	B	"21911.178"	"51872.526"	"3s.3p"	"3P*"	"2"	"3s.5s"	"3S"	"1"		"T4391"	"L6095"	
""	"362.7628"	""	"5.62e+06"	"1.11e-02"	"-1.256"	C	"53134.642"	"80693.01"	"3s.4d"	"1D"	"2"	"3p.3d"	"1D*"	"2"		"T6298c72"	""	
""	"363.58135"	""	"9.89e-05"	"5.88e-13"	"-12.23"	D	"21850.405"	"49346.729"	"3s.3p"	"3P*"	"0"	"3s.4p"	"1P*"	"1"	M1	"c43"	""	
""	"363.84678"	""	"7.38e-05"	"1.47e-13"	"-12.36"	D	"21870.464"	"49346.729"	"3s.3p"	"3P*"	"1"	"3s.4p"	"1P*"	"1"	M1	"c43"	""	
""	"363.84678"	""	"2.12e-04"	"4.21e-13"	"-11.90"	C	"21870.464"	"49346.729"	"3s.3p"	"3P*"	"1"	"3s.4p"	"1P*"	"1"	E2	"c43"	""	
""	"364.38674"	""	"1.22e-04"	"1.46e-13"	"-12.14"	D	"21911.178"	"49346.729"	"3s.3p"	"3P*"	"2"	"3s.4p"	"1P*"	"1"	M1	"c43"	""	
""	"364.38674"	""	"2.80e-04"	"3.35e-13"	"-11.78"	C	"21911.178"	"49346.729"	"3s.3p"	"3P*"	"2"	"3s.4p"	"1P*"	"1"	E2	"c43"	""	
"382.93549"	"382.93547"	"36"	"8.99e+07"	"5.93e-01"	"-0.227"	B+	"21850.405"	"47957.058"	"3s.3p"	"3P*"	"0"	"3s.3d"	"3D"	"1"		"c45"	"L7428"	
""	"382.93593"	""	"2.11e-05"	"2.32e-13"	"-12.63"	B	"21850.405"	"47957.027"	"3s.3p"	"3P*"	"0"	"3s.3d"	"3D"	"2"	M2	"c43"	""	
""	"383.22993"	""	"7.17e-05"	"1.58e-13"	"-12.32"	B	"21870.464"	"47957.058"	"3s.3p"	"3P*"	"1"	"3s.3d"	"3D"	"1"	M2	"c43"	""	
"383.22996"	"383.22993"	""	"6.74e+07"	"1.48e-01"	"-0.353"	B+	"21870.464"	"47957.058"	"3s.3p"	"3P*"	"1"	"3s.3d"	"3D"	"1"		"c45"	"L7428"	
""	"383.23013"	""	"2.20e-05"	"1.13e-13"	"-12.47"	B	"21870.464"	"47957.045"	"3s.3p"	"3P*"	"1"	"3s.3d"	"3D"	"3"	M2	"c43"	""	
"383.23037"	"383.23039"	"38"	"1.21e+08"	"4.45e-01"	"0.125"	B+	"21870.464"	"47957.027"	"3s.3p"	"3P*"	"1"	"3s.3d"	"3D"	"2"		"c45"	"L7428"	
""	"383.23039"	""	"6.36e-04"	"2.34e-12"	"-11.15"	B+	"21870.464"	"47957.027"	"3s.3p"	"3P*"	"1"	"3s.3d"	"3D"	"2"	M2	"c43"	""	
""	"383.82900"	""	"1.80e-06"	"2.39e-15"	"-13.92"	C	"21911.178"	"47957.058"	"3s.3p"	"3P*"	"2"	"3s.3d"	"3D"	"1"	M2	"c43"	""	
""	"383.82900"	""	"4.48e+06"	"5.94e-03"	"-1.527"	B	"21911.178"	"47957.058"	"3s.3p"	"3P*"	"2"	"3s.3d"	"3D"	"1"		"c45"	""	
"383.82918"	"383.82919"	"40"	"1.61e+08"	"4.99e-01"	"0.397"	B+	"21911.178"	"47957.045"	"3s.3p"	"3P*"	"2"	"3s.3d"	"3D"	"3"		"c45"	"L7428"	
""	"383.82919"	""	"2.04e-03"	"6.31e-12"	"-10.50"	B+	"21911.178"	"47957.045"	"3s.3p"	"3P*"	"2"	"3s.3d"	"3D"	"3"	M2	"c43"	""	
"383.82943"	"383.82946"	""	"4.03e+07"	"8.91e-02"	"-0.351"	B+	"21911.178"	"47957.027"	"3s.3p"	"3P*"	"2"	"3s.3d"	"3D"	"2"		"c45"	"L7428"	
""	"383.82946"	""	"3.28e-04"	"7.25e-13"	"-11.44"	B	"21911.178"	"47957.027"	"3s.3p"	"3P*"	"2"	"3s.3d"	"3D"	"2"	M2	"c43"	""	
""	"384.49513"	""	"1.46e+01"	"1.62e-07"	"-6.79"	B+	"21850.405"	"47851.162"	"3s.3p"	"3P*"	"0"	"3s.4p"	"3P*"	"2"	E2	"c43"	""	
""	"384.59495"	""	"3.05e-05"	"2.03e-13"	"-12.69"	D	"21850.405"	"47844.414"	"3s.3p"	"3P*"	"0"	"3s.4p"	"3P*"	"1"	M1	"c43"	""	
""	"384.79200"	""	"9.50e-05"	"3.52e-13"	"-11.98"	D	"21870.464"	"47851.162"	"3s.3p"	"3P*"	"1"	"3s.4p"	"3P*"	"2"	M1	"c43"	""	
""	"384.79200"	""	"3.28e+01"	"1.21e-07"	"-6.44"	B+	"21870.464"	"47851.162"	"3s.3p"	"3P*"	"1"	"3s.4p"	"3P*"	"2"	E2	"c43"	""	
"384.8914"	"384.89197"	"1"	"1.83e+01"	"4.07e-08"	"-6.91"	B+	"21870.464"	"47844.414"	"3s.3p"	"3P*"	"1"	"3s.4p"	"3P*"	"1"	E2	"c43"	"L6095"	
""	"384.89197"	""	"4.31e-10"	"9.58e-19"	"-17.54"	E	"21870.464"	"47844.414"	"3s.3p"	"3P*"	"1"	"3s.4p"	"3P*"	"1"	M1	"c43"	""	
""	"384.94080"	""	"9.20e-05"	"6.82e-14"	"-12.69"	D	"21870.464"	"47841.119"	"3s.3p"	"3P*"	"1"	"3s.4p"	"3P*"	"0"	M1	"c43"	""	
""	"385.39596"	""	"2.89e-12"	"6.44e-21"	"-19.49"	E	"21911.178"	"47851.162"	"3s.3p"	"3P*"	"2"	"3s.4p"	"3P*"	"2"	M1	"c43"	""	
"385.3960"	"385.39596"	"2"	"2.55e+01"	"5.68e-08"	"-6.55"	B+	"21911.178"	"47851.162"	"3s.3p"	"3P*"	"2"	"3s.4p"	"3P*"	"2"	E2	"c43"	"L6095"	
""	"385.49624"	""	"1.59e-04"	"2.13e-13"	"-11.97"	D	"21911.178"	"47844.414"	"3s.3p"	"3P*"	"2"	"3s.4p"	"3P*"	"1"	M1	"c43"	""	
"385.4965"	"385.49624"	"1"	"5.48e+01"	"7.33e-08"	"-6.44"	B+	"21911.178"	"47844.414"	"3s.3p"	"3P*"	"2"	"3s.4p"	"3P*"	"1"	E2	"c43"	"L6095"	
""	"385.54523"	""	"7.32e+01"	"3.26e-08"	"-6.79"	B+	"21911.178"	"47841.119"	"3s.3p"	"3P*"	"2"	"3s.4p"	"3P*"	"0"	E2	"c43"	""	
"389.0241"	"389.0178"	"1"	"1.31e+08"	"8.94e-01"	"-0.049"	B	"57812.77"	"83511.25"	"3p2"	"3P"	"0"	"3p.3d"	"3D*"	"1"		"T6298c72,LS"	"L7442"	
"389.1906"	"389.1906"	"2d"	"1.77e+08"	"6.70e-01"	"0.303"	B	"57833.40"	"83520.47"	"3p2"	"3P"	"1"	"3p.3d"	"3D*"	"2"		"T6298c72,LS"	"L6095"	
"389.3304"	"389.3304"	"2d"	"9.81e+07"	"2.23e-01"	"-0.175"	C+	"57833.40"	"83511.25"	"3p2"	"3P"	"1"	"3p.3d"	"3D*"	"1"		"T6298c72,LS"	"L6095"	
"389.5572"	"389.5572"	"3d"	"2.35e+08"	"7.50e-01"	"0.574"	B+	"57873.94"	"83536.84"	"3p2"	"3P"	"2"	"3p.3d"	"3D*"	"3"		"T6298c72,LS"	"L6095"	
"389.8120"	"389.8059"	"1"	"5.88e+07"	"1.34e-01"	"-0.174"	C+	"57873.94"	"83520.47"	"3p2"	"3P"	"2"	"3p.3d"	"3D*"	"2"		"T6298c72,LS"	"L7442"	
""	"389.9460"	""	"6.52e+06"	"8.92e-03"	"-1.351"	C	"57873.94"	"83511.25"	"3p2"	"3P"	"2"	"3p.3d"	"3D*"	"1"		"T6298c72,LS"	""	
"393.8400"	"393.84002"	"6"	"5.47e+06"	"2.12e-02"	"-1.197"	D	"35051.264"	"60435.099"	"3s.3p"	"1P*"	"1"	"3s.10d"	"1D"	"2"		"T6298c72"	"L7428"	
"398.67533"	"398.67533"	"8"	"7.30e+06"	"2.90e-02"	"-1.060"	D	"35051.264"	"60127.239"	"3s.3p"	"1P*"	"1"	"3s.9d"	"1D"	"2"		"T6298c72"	"L7428"	
"405.75052"	"405.75052"	"10"	"1.02e+07"	"4.20e-02"	"-0.900"	C+	"35051.264"	"59689.991"	"3s.3p"	"1P*"	"1"	"3s.8d"	"1D"	"2"		"T5539"	"L7428"	
""	"407.17287"	""	"4.71e-04"	"5.86e-12"	"-11.23"	B+	"21850.405"	"46403.065"	"3s.3p"	"3P*"	"0"	"3s.3d"	"1D"	"2"	M2	"c43"	""	
""	"407.50580"	""	"1.05e-03"	"4.36e-12"	"-10.88"	B+	"21870.464"	"46403.065"	"3s.3p"	"3P*"	"1"	"3s.3d"	"1D"	"2"	M2	"c43"	""	
""	"408.18323"	""	"8.09e-04"	"2.02e-12"	"-11.00"	B+	"21911.178"	"46403.065"	"3s.3p"	"3P*"	"2"	"3s.3d"	"1D"	"2"	M2	"c43"	""	
""	"409.9787"	""	"1.71e+06"	"4.32e-03"	"-1.666"	D+	"56308.381"	"80693.01"	"3s.5d"	"1D"	"2"	"3p.3d"	"1D*"	"2"		"T6298c72"	""	
"416.72712"	"416.72713"	"15"	"1.38e+07"	"6.00e-02"	"-0.745"	C+	"35051.264"	"59041.019"	"3s.3p"	"1P*"	"1"	"3s.7d"	"1D"	"2"		"T5539"	"L7428"	
"435.19056"	"435.19057"	"20"	"1.84e+07"	"8.70e-02"	"-0.583"	B+	"35051.264"	"58023.246"	"3s.3p"	"1P*"	"1"	"3s.6d"	"1D"	"2"		"T5539"	"L7428"	
""	"440.9923"	""	"7.68e+05"	"2.24e-03"	"-1.951"	D+	"58023.246"	"80693.01"	"3s.6d"	"1D"	"2"	"3p.3d"	"1D*"	"2"		"T6298c72"	""	
""	"456.26017"	""	"3.98e-03"	"6.21e-11"	"-10.21"	B+	"0.000"	"21911.178"	"2p6.3s2"	"1S"	"0"	"3s.3p"	"3P*"	"2"	M2	"c43"	""	
"457.10956"	"457.10956"	"28g"	"2.54e+02"	"2.38e-06"	"-5.623"	D	"0.000"	"21870.464"	"2p6.3s2"	"1S"	"0"	"3s.3p"	"3P*"	"1"		"c45"	"L7428"	
""	"457.52920"	""	"5.8e-04"	"1.8e-12"	"-11.74"	D	"0.000"	"21850.405"	"2p6.3s2"	"1S"	"0"	"3s.3p"	"3P*"	"0"		"T6298c72"	""	
""	"463.0015"	""	"2.04e-03"	"1.31e-12"	"-11.18"	B+	"21911.178"	"43503.333"	"3s.3p"	"3P*"	"2"	"3s.4s"	"1S"	"0"	M2	"c43"	""	
"470.29909"	"470.29908"	"30"	"2.19e+07"	"1.21e-01"	"-0.440"	B+	"35051.264"	"56308.381"	"3s.3p"	"1P*"	"1"	"3s.5d"	"1D"	"2"		"T5539"	"L7428"	
"473.00285"	"473.00286"	"10"	"1.34e+06"	"1.50e-03"	"-2.347"	C+	"35051.264"	"56186.873"	"3s.3p"	"1P*"	"1"	"3s.6s"	"1S"	"0"		"T5539"	"L7428"	
"516.73216"	"516.73213"	"42"	"1.13e+07"	"1.35e-01"	"-0.870"	B+	"21850.405"	"41197.403"	"3s.3p"	"3P*"	"0"	"3s.4s"	"3S"	"1"		"c45"	"L7428"	
""	"517.2684"	""	"3.46e-05"	"1.39e-13"	"-12.38"	B	"21870.464"	"41197.403"	"3s.3p"	"3P*"	"1"	"3s.4s"	"3S"	"1"	M2	"c43"	""	
"517.26843"	"517.26844"	"44"	"3.37e+07"	"1.35e-01"	"-0.393"	B+	"21870.464"	"41197.403"	"3s.3p"	"3P*"	"1"	"3s.4s"	"3S"	"1"		"c45"	"L7428"	
""	"518.3604"	""	"1.02e-04"	"2.47e-13"	"-11.91"	B	"21911.178"	"41197.403"	"3s.3p"	"3P*"	"2"	"3s.4s"	"3S"	"1"	M2	"c43"	""	
"518.36042"	"518.36043"	"45"	"5.61e+07"	"1.36e-01"	"-0.167"	A	"21911.178"	"41197.403"	"3s.3p"	"3P*"	"2"	"3s.4s"	"3S"	"1"		"c45"	"L7428"	
"552.84047"	"552.84047"	"40"	"1.39e+07"	"1.06e-01"	"-0.498"	B+	"35051.264"	"53134.642"	"3s.3p"	"1P*"	"1"	"3s.4d"	"1D"	"2"		"T5539"	"L7428"	
"571.10880"	"571.10880"	"30"	"3.86e+06"	"6.30e-03"	"-1.724"	B	"35051.264"	"52556.206"	"3s.3p"	"1P*"	"1"	"3s.5s"	"1S"	"0"		"T5539"	"L7428"	
"631.8716"	"631.8717"	"10"	"2.63e+05"	"2.63e-03"	"-2.103"	D+	"41197.403"	"57019.025"	"3s.4s"	"3S"	"1"	"3s.6p"	"3P*"	"2"		"T6298c72,LS"	"L6095"	
"631.9236"	"631.9237"	"9"	"2.64e+05"	"1.58e-03"	"-2.324"	D	"41197.403"	"57017.724"	"3s.4s"	"3S"	"1"	"3s.6p"	"3P*"	"1"		"T6298c72,LS"	"L6095"	
"631.9493"	"631.9495"	"7"	"2.63e+05"	"5.25e-04"	"-2.803"	E	"41197.403"	"57017.078"	"3s.4s"	"3S"	"1"	"3s.6p"	"3P*"	"0"		"T6298c72,LS"	"L6095"	
"706.0409"	"706.0414"	"8"	"8.51e+05"	"8.91e-03"	"-1.351"	D	"46403.065"	"60562.637"	"3s.3d"	"1D"	"2"	"3s.10f"	"1F*"	"3"		"T6298c72"	"L6095"	
"719.3172"	"719.3184"	"10"	"1.18e+06"	"1.28e-02"	"-1.194"	D	"46403.065"	"60301.283"	"3s.3d"	"1D"	"2"	"3s.9f"	"1F*"	"3"		"T6298c72"	"L6095"	
"729.1060"	"729.1055"	"10"	"6.27e+04"	"1.50e-03"	"-2.824"	C+	"43503.333"	"57214.992"	"3s.4s"	"1S"	"0"	"3s.6p"	"1P*"	"1"		"T5539"	"L6095"	
"738.7685"	"738.7689"	"12"	"1.74e+06"	"2.00e-02"	"-1.000"	C+	"46403.065"	"59935.370"	"3s.3d"	"1D"	"2"	"3s.8f"	"1F*"	"3"		"T5539"	"L6095"	
""	"757.3180"	""	"9.67e-05"	"2.50e-12"	"-11.60"	D+	"21850.405"	"35051.264"	"3s.3p"	"3P*"	"0"	"3s.3p"	"1P*"	"1"	M1	"c43"	""	
""	"758.4705"	""	"7.22e-05"	"6.23e-13"	"-11.73"	D+	"21870.464"	"35051.264"	"3s.3p"	"3P*"	"1"	"3s.3p"	"1P*"	"1"	M1	"c43"	""	
""	"758.4705"	""	"3.76e-05"	"3.24e-13"	"-12.01"	C	"21870.464"	"35051.264"	"3s.3p"	"3P*"	"1"	"3s.3p"	"1P*"	"1"	E2	"c43"	""	
""	"760.8206"	""	"1.19e-04"	"6.20e-13"	"-11.51"	D+	"21911.178"	"35051.264"	"3s.3p"	"3P*"	"2"	"3s.3p"	"1P*"	"1"	M1	"c43"	""	
""	"760.8206"	""	"2.65e-05"	"1.38e-13"	"-12.16"	C	"21911.178"	"35051.264"	"3s.3p"	"3P*"	"2"	"3s.3p"	"1P*"	"1"	E2	"c43"	""	
"765.7603"	"765.7603"	"20"	"1.23e+06"	"1.80e-02"	"-1.268"	C	"41197.403"	"54252.726"	"3s.4s"	"3S"	"1"	"3s.5p"	"3P*"	"2"		"T6298c72,LS"	"L6095"	
"765.9152"	"765.9152"	"19"	"1.23e+06"	"1.08e-02"	"-1.489"	C	"41197.403"	"54250.086"	"3s.4s"	"3S"	"1"	"3s.5p"	"3P*"	"1"		"T6298c72,LS"	"L6095"	
"765.9902"	"765.9901"	"17"	"1.23e+06"	"3.61e-03"	"-1.965"	D+	"41197.403"	"54248.809"	"3s.4s"	"3S"	"1"	"3s.5p"	"3P*"	"0"		"T6298c72,LS"	"L6095"	
"769.1550"	"769.1553"	"15"	"2.66e+06"	"3.30e-02"	"-0.783"	B	"46403.065"	"59400.763"	"3s.3d"	"1D"	"2"	"3s.7f"	"1F*"	"3"		"T5539"	"L6095"	
