obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"504.103"	"504.1024"	"1000"	"7.00e+07"	"5.34e-01"	"0.029"	B	"81191.34"	"101023.05"	"3s2.4p"	"2P*"	"1/2"	"3s2.4d"	"2D"	"3/2"		"T7222"	"L3541"	
"505.598"	"505.5984"	"1000"	"1.45e+08"	"8.34e-01"	"0.523"	B	"81251.32"	"101024.35"	"3s2.4p"	"2P*"	"3/2"	"3s2.4d"	"2D"	"5/2"		"T7222"	"L3541"	
""	"505.6317"	""	"2.10e+07"	"8.05e-02"	"-0.492"	B	"81251.32"	"101023.05"	"3s2.4p"	"2P*"	"3/2"	"3s2.4d"	"2D"	"3/2"		"T6570"	""	
""	"511.3168"	""	"1.3e+04"	"7.6e-05"	"-3.51"	E	"84004.26"	"103556.16"	"3s.3p2"	"2P"	"3/2"	"3s2.4f"	"2F*"	"5/2"		"T6527c4"	""	
""	"518.5520"	""	"7.74e+05"	"3.12e-03"	"-1.603"	E	"103556.03"	"122835.13"	"3s2.4f"	"2F*"	"7/2"	"3s2.7g"	"2G"	"7/2"		"T6527c4,LS"	""	
""	"518.5520"	""	"1.24e+07"	"6.24e-02"	"-0.302"	D+	"103556.03"	"122835.13"	"3s2.4f"	"2F*"	"7/2"	"3s2.7g"	"2G"	"9/2"		"T6527c4,LS"	""	
""	"518.5555"	""	"1.08e+07"	"5.83e-02"	"-0.456"	D	"103556.16"	"122835.13"	"3s2.4f"	"2F*"	"5/2"	"3s2.7g"	"2G"	"7/2"		"T6527c4,LS"	""	
""	"546.2145"	""	"5.36e+06"	"4.80e-02"	"-1.018"	E	"103860.74"	"122163.48"	"3s2.5p"	"2P*"	"1/2"	"3s2.7d"	"2D"	"3/2"		"T6527c4,LS"	""	
"546.643"	"546.6461"	"500w"	"2.16e+07"	"1.45e-01"	"-0.237"	C	"101023.05"	"119311.34"	"3s2.4d"	"2D"	"3/2"	"3s2.6f"	"2F*"	"5/2"		"T6527c4,LS"	"L3541"	
"546.687"	"546.6849"	"500w"	"1.54e+06"	"6.90e-03"	"-1.383"	D+	"101024.35"	"119311.34"	"3s2.4d"	"2D"	"5/2"	"3s2.6f"	"2F*"	"5/2"		"T6527c4,LS"	"L3541"	
""	"546.6894"	""	"2.31e+07"	"1.38e-01"	"-0.082"	C+	"101024.35"	"119311.19"	"3s2.4d"	"2D"	"5/2"	"3s2.6f"	"2F*"	"7/2"		"T6527c4,LS"	""	
""	"546.9451"	""	"6.42e+06"	"4.32e-02"	"-0.762"	D	"103885.25"	"122163.54"	"3s2.5p"	"2P*"	"3/2"	"3s2.7d"	"2D"	"5/2"		"T6527c4,LS"	""	
""	"546.9469"	""	"1.07e+06"	"4.80e-03"	"-1.717"	E	"103885.25"	"122163.48"	"3s2.5p"	"2P*"	"3/2"	"3s2.7d"	"2D"	"3/2"		"T6527c4,LS"	""	
""	"547.7702"	""	"4.30e+05"	"1.94e-03"	"-2.110"	E	"101023.05"	"119273.81"	"3s2.4d"	"2D"	"3/2"	"3s2.7p"	"2P*"	"3/2"		"T7166"	""	
""	"547.8092"	""	"3.87e+06"	"1.16e-02"	"-1.157"	D+	"101024.35"	"119273.81"	"3s2.4d"	"2D"	"5/2"	"3s2.7p"	"2P*"	"3/2"		"T7166"	""	
""	"548.6296"	""	"4.41e+06"	"9.96e-03"	"-1.400"	D	"101023.05"	"119245.22"	"3s2.4d"	"2D"	"3/2"	"3s2.7p"	"2P*"	"1/2"		"T7166"	""	
""	"556.8355"	""	"2.9e+06"	"1.3e-02"	"-1.57"	D	"103860.74"	"121814.38"	"3s2.5p"	"2P*"	"1/2"	"3s2.8s"	"2S"	"1/2"		"T6527c4,LS"	""	
""	"557.5967"	""	"5.7e+06"	"1.3e-02"	"-1.27"	D	"103885.25"	"121814.38"	"3s2.5p"	"2P*"	"3/2"	"3s2.8s"	"2S"	"1/2"		"T6527c4,LS"	""	
""	"560.5352"	""	"2.36e+05"	"1.48e-03"	"-2.052"	D	"114327.15"	"132162.29"	"3s.3p.(3P*).3d"	"4F*"	"5/2"	"3s.3p.(3P*).4p"	"4D"	"7/2"		"T6527c4,LS"	""	
"563.297"	"563.297"	"100w"	"4.00e+06"	"1.90e-02"	"-0.818"	C+	"114414.58"	"132162.29"	"3s.3p.(3P*).3d"	"4F*"	"7/2"	"3s.3p.(3P*).4p"	"4D"	"7/2"		"T6570"	"L3541"	
""	"564.101"	""	"4.26e+05"	"3.05e-03"	"-1.914"	D	"114265.64"	"131988.05"	"3s.3p.(3P*).3d"	"4F*"	"3/2"	"3s.3p.(3P*).4p"	"4D"	"5/2"		"T6527c4,LS"	""	
"566.066"	"566.065"	"150w"	"7.00e+06"	"3.36e-02"	"-0.696"	C+	"114327.15"	"131988.05"	"3s.3p.(3P*).3d"	"4F*"	"5/2"	"3s.3p.(3P*).4p"	"4D"	"5/2"		"T6570"	"L3541"	
"566.956"	"566.956"	"1000w"	"5.00e+07"	"1.93e-01"	"0.286"	B+	"114529.14"	"132162.29"	"3s.3p.(3P*).3d"	"4F*"	"9/2"	"3s.3p.(3P*).4p"	"4D"	"7/2"		"T6570"	"L3541"	
"568.144"	"568.144"	"30w"	"1.00e+07"	"4.84e-02"	"-0.713"	C+	"114265.64"	"131861.93"	"3s.3p.(3P*).3d"	"4F*"	"3/2"	"3s.3p.(3P*).4p"	"4D"	"3/2"		"T6570"	"L3541"	
"568.881"	"568.882"	"300w"	"4.60e+07"	"1.67e-01"	"0.126"	B	"114414.58"	"131988.05"	"3s.3p.(3P*).3d"	"4F*"	"7/2"	"3s.3p.(3P*).4p"	"4D"	"5/2"		"T6570"	"L3541"	
"570.137"	"570.137"	"200w"	"4.50e+07"	"1.46e-01"	"-0.057"	B	"114327.15"	"131861.93"	"3s.3p.(3P*).3d"	"4F*"	"5/2"	"3s.3p.(3P*).4p"	"4D"	"3/2"		"T6570"	"L3541"	
"570.637"	"570.64"	"100w"	"6.10e+07"	"1.49e-01"	"-0.225"	B	"114265.64"	"131784.9"	"3s.3p.(3P*).3d"	"4F*"	"3/2"	"3s.3p.(3P*).4p"	"4D"	"1/2"		"T6570"	"L3541"	
"595.756"	"595.756"	"500"	"5.60e+07"	"2.98e-01"	"-0.225"	B+	"81191.34"	"97972.09"	"3s2.4p"	"2P*"	"1/2"	"3s2.5s"	"2S"	"1/2"		"T6570"	"L3541"	
"597.893"	"597.893"	"500"	"1.13e+08"	"3.03e-01"	"0.084"	B+	"81251.32"	"97972.09"	"3s2.4p"	"2P*"	"3/2"	"3s2.5s"	"2S"	"1/2"		"T6570"	"L3541"	
""	"623.961"	""	"1.61e+06"	"9.39e-03"	"-1.124"	D+	"103556.03"	"119578.23"	"3s2.4f"	"2F*"	"7/2"	"3s2.6g"	"2G"	"7/2"		"T6527c4,LS"	""	
""	"623.961"	""	"2.58e+07"	"1.88e-01"	"0.177"	C+	"103556.03"	"119578.23"	"3s2.4f"	"2F*"	"7/2"	"3s2.6g"	"2G"	"9/2"		"T6527c4,LS"	""	
""	"623.966"	""	"2.25e+07"	"1.75e-01"	"0.021"	C+	"103556.16"	"119578.23"	"3s2.4f"	"2F*"	"5/2"	"3s2.6g"	"2G"	"7/2"		"T6527c4,LS"	""	
